"source","target"
"100% stacked bar chart","100% لىك تاياقچە گىرافىك"
"100% stacked column chart","100% تۈۋرۈكسىمان گىرافىك"
"1966","1966"
"1-way binding","1 يوللۇق باغلاش"
"2-D","ئىككى ئۆلچەملىك"
"2D Maps","2 ئۆلچەملىك خەرىتە"
"2D view","2D كۆرۈنۈش"
"2-in-1","2 بىرلەشمە 1 كومپيۇتېر"
"2-way binding","2 يوللۇق باغلاش"
"360° video","360° سىن"
"3-D","ئۈچ ئۆلچەملىك"
"3D","3D"
"3-D column chart","ئۈچ ئۆلچەملىك گىرافىك"
"3-D effect","ئۈچ ئۆلچەملىك ئۈنۈم"
"3DES","3DES"
"3D Maps","3D خەرىتىلەر"
"3D model","3D model"
"3-D reference","ئۈچ ئۆلچەملىك نەقىل"
"3-D walls and floor","ئۈچ ئۆلچەملىك تام-تورۇس"
"4K","4K"
"a11y","a11y"
"AA","AA"
"abandon","تاشلاش"
"ABN","ABN"
"About","ھەققىدە"
"absolute cell reference","مۇتلەق كاتەكچە پايدىلانمىسى"
"absolute link","مۇتلەق ئۇلانما"
"absolute positioning","مۇتلەق ئورۇن بەلگىلەش"
"absolute reference","مۇتلەق پايدىلانما"
"absolute URL","مۇتلەق URL"
"abstract","ئابستراكت"
"Academic Library","ئىلمىي كۇتۇبخانا"
"accent color","خاس رەڭ"
"Accent Process","تەرتىپلىك سىخېما"
"access","زىيارەت قىلماق"
"access control list","زىيارەت تىزگىنى تىزىملىكى"
"accessibility","ياردەمچە ئىقتىدار"
"Accessibility Advocate","راۋانلىق يولباشچىسى"
"accessibility aid","راۋانلىق ياردىمى"
"Accessibility Checker","راۋانلىق تەكشۈرگۈچ"
"access key","زىيارەت كۇنۇپكىسى"
"Access number","زىيارەت نومۇرى"
"accessory","قوشۇمچە"
"access permissions","زىيارەت ھوقۇقى"
"access point","زىيارەت نۇقتىسى"
"Access Services","Access مۇلازىمەتلىرى"
"account","ھېسابات"
"Account","ھېسابات"
"accounting","بوغالتىرلىق"
"Accounting & finance","مالىيە-بوغالتىرلىق"
"account picture","ھېسابات رەسىمى"
"account protection","ھېساباتنى قوغداش"
"ACE","ACE"
"achievement","ئۆتكەل"
"ACL","ACL"
"action","ھەرىكەت"
"actionable message","مەشغۇلاتلىق ئۇچۇر"
"actionable message card","مەشغۇلاتلىق ئۇچۇر كارتىسى"
"Actionable Messages","مەشغۇلاتلىق ئۇچۇر"
"Action & adventure","ھەرىكەتلىك ۋە خەتەرلىك"
"action argument","ھەرىكەت پارامېتىرى"
"action button","ھەرىكەت كۇنۇپكىسى"
"action center","مەشغۇلات مەركىزى"
"Action Items","ھەرىكەت ئوبيېكتلىرى"
"action node","ھەرىكەت تۈگۈنى"
